source,target,value
"inj_foreign_aspiration","Other injuries of muscle & tendon and other dislocations",.759444
"inj_trans_road_4wheel","Other injuries of muscle & tendon and other dislocations",262.6982
"inj_fires","Other injuries of muscle & tendon and other dislocations",492.503
"inj_homicide_gun","Other injuries of muscle & tendon and other dislocations",.5129489
"inj_othunintent","Other injuries of muscle & tendon and other dislocations",1029.023
"inj_homicide_other","Other injuries of muscle & tendon and other dislocations",16.58495
"inj_mech_gun","Other injuries of muscle & tendon and other dislocations",18.93657
"inj_mech_other","Other injuries of muscle & tendon and other dislocations",1077.096
"inj_homicide_knife","Other injuries of muscle & tendon and other dislocations",6.718647
"inj_trans_road_pedal","Other injuries of muscle & tendon and other dislocations",39.83647
"inj_animal_venom","Other injuries of muscle & tendon and other dislocations",3.839304
"inj_mech_suffocate","Other injuries of muscle & tendon and other dislocations",18.76915
"inj_foreign_eye","Other injuries of muscle & tendon and other dislocations",.0659164
"inj_poisoning","Other injuries of muscle & tendon and other dislocations",.2155449
"inj_trans_road_other","Other injuries of muscle & tendon and other dislocations",3.543411
"inj_foreign_other","Other injuries of muscle & tendon and other dislocations",16.23743
"inj_trans_other","Other injuries of muscle & tendon and other dislocations",24.73326
"inj_trans_road_2wheel","Other injuries of muscle & tendon and other dislocations",21.11076
"inj_trans_road_pedest","Other injuries of muscle & tendon and other dislocations",12.08319
"inj_falls","Other injuries of muscle & tendon and other dislocations",288.488
"inj_animal_nonven","Other injuries of muscle & tendon and other dislocations",117.8432
"inj_drowning","Other injuries of muscle & tendon and other dislocations",.8792454
"inj_suicide","Other injuries of muscle & tendon and other dislocations",2.548708
"inj_trans_road_other","Fracture of clavicle, scapula, or humerus",3.860623
"inj_trans_other","Fracture of clavicle, scapula, or humerus",7.569712
"inj_foreign_other","Fracture of clavicle, scapula, or humerus",.063558
"inj_homicide_other","Fracture of clavicle, scapula, or humerus",2.102922
"inj_foreign_aspiration","Fracture of clavicle, scapula, or humerus",.0876618
"inj_homicide_knife","Fracture of clavicle, scapula, or humerus",.310111
"inj_mech_gun","Fracture of clavicle, scapula, or humerus",.6902435
"inj_fires","Fracture of clavicle, scapula, or humerus",1.035791
"inj_mech_suffocate","Fracture of clavicle, scapula, or humerus",1.809942
"inj_trans_road_pedest","Fracture of clavicle, scapula, or humerus",14.461
"inj_foreign_eye","Fracture of clavicle, scapula, or humerus",.0018533
"inj_falls","Fracture of clavicle, scapula, or humerus",85.88487
"inj_drowning","Fracture of clavicle, scapula, or humerus",.6484778
"inj_trans_road_pedal","Fracture of clavicle, scapula, or humerus",24.72338
"inj_trans_road_4wheel","Fracture of clavicle, scapula, or humerus",38.06555
"inj_animal_venom","Fracture of clavicle, scapula, or humerus",.0688212
"inj_othunintent","Fracture of clavicle, scapula, or humerus",84.71537
"inj_mech_other","Fracture of clavicle, scapula, or humerus",13.96501
"inj_suicide","Fracture of clavicle, scapula, or humerus",.0555684
"inj_homicide_gun","Fracture of clavicle, scapula, or humerus",.1270555
"inj_animal_nonven","Fracture of clavicle, scapula, or humerus",.3803283
"inj_trans_road_2wheel","Fracture of clavicle, scapula, or humerus",12.00142
"inj_poisoning","Fracture of clavicle, scapula, or humerus",.1340224
"inj_falls","Fracture of face bone",10.08819
"inj_homicide_gun","Fracture of face bone",.1917203
"inj_trans_road_other","Fracture of face bone",.1676466
"inj_trans_road_pedal","Fracture of face bone",5.359139
"inj_trans_road_4wheel","Fracture of face bone",5.792228
"inj_animal_venom","Fracture of face bone",.0496305
"inj_drowning","Fracture of face bone",.0867148
"inj_fires","Fracture of face bone",.3853941
"inj_trans_road_pedest","Fracture of face bone",2.660744
"inj_foreign_other","Fracture of face bone",.0567758
"inj_foreign_eye","Fracture of face bone",.0029665
"inj_trans_other","Fracture of face bone",3.216532
"inj_homicide_other","Fracture of face bone",1.511544
"inj_mech_other","Fracture of face bone",4.000866
"inj_mech_suffocate","Fracture of face bone",.1985319
"inj_homicide_knife","Fracture of face bone",.0650356
"inj_foreign_aspiration","Fracture of face bone",.0655379
"inj_suicide","Fracture of face bone",.0248692
"inj_othunintent","Fracture of face bone",12.3614
"inj_animal_nonven","Fracture of face bone",.1079616
"inj_poisoning","Fracture of face bone",.0441583
"inj_trans_road_2wheel","Fracture of face bone",5.19488
"inj_mech_gun","Fracture of face bone",.3262902
"inj_trans_other","Fracture of foot bone",2.546741
"inj_animal_venom","Fracture of foot bone",.0486884
"inj_animal_nonven","Fracture of foot bone",.1195795
"inj_drowning","Fracture of foot bone",.1913486
"inj_foreign_other","Fracture of foot bone",.047263
"inj_mech_suffocate","Fracture of foot bone",.4971408
"inj_othunintent","Fracture of foot bone",25.16943
"inj_poisoning","Fracture of foot bone",.0401205
"inj_falls","Fracture of foot bone",18.53266
"inj_mech_gun","Fracture of foot bone",.6121786
"inj_trans_road_pedest","Fracture of foot bone",8.80985
"inj_trans_road_other","Fracture of foot bone",.2896094
"inj_foreign_aspiration","Fracture of foot bone",.0899224
"inj_suicide","Fracture of foot bone",.0378356
"inj_homicide_other","Fracture of foot bone",.1424974
"inj_mech_other","Fracture of foot bone",20.89617
"inj_fires","Fracture of foot bone",.4263536
"inj_foreign_eye","Fracture of foot bone",.0059279
"inj_trans_road_2wheel","Fracture of foot bone",3.641537
"inj_trans_road_4wheel","Fracture of foot bone",11.99676
"inj_homicide_gun","Fracture of foot bone",.1024536
